Question,label
Compute the number of permutations of 19 distinct objects taken 6 at a time,5
Find the value of x if x/9 + 6 = 14,0
Simplify the expression (6x^2 - 16x + 11),0
Find the number of subsets of size 20 from a set of size 19,5
Evaluate ∫ (11x + 9) dx,2
Find the nth term of the arithmetic sequence with a1=5 and d=12,7
Simplify the expression (15x^2 - 17x + 10),0
"Find eigenvalues of the 2x2 matrix [[4, 18], [9, 5]]",6
Evaluate the product 14 × 17 ÷ 7,1
Compute ∂/∂y of 14x^2y + 4xy,2
Compute the sum of the infinite geometric series with first term 10 and ratio 7,7
How many surjections from an 10-element set to a 7-element set?,5
What is the probability of drawing 16 cards without replacement from a deck of 2?,3
Find the remainder when 10 is divided by 17,1
Compute d/dx (1x^17 + 14x),2
Compute the sum of the infinite geometric series with first term 2 and ratio 6,7
Compute 5^(1/18).,1
Find the remainder when 17 is divided by 19,1
Find the general term of the series defined by a_n = 19n^2 + 19,7
Compute ∂/∂y of 18x^2y + 11xy,2
Evaluate ∫ (4x + 15) dx,2
Find the general term of the series defined by a_n = 1n^2 + 17,7
Solve for x: 12^2 - 13x + 11 = 0,0
Simplify the expression (9x^2 - 13x + 1),0
"Find eigenvalues of the 2x2 matrix [[1, 13], [17, 17]]",6
Find the value of x if x/13 + 9 = 10,0
"What is the expected value of a uniform distribution on [4, 3]?",3
"If A = [[15, 12], [11, 17]], find tr(A)",6
Find the general term of the series defined by a_n = 13n^2 + 13,7
Find the remainder when 20 is divided by 14,1
Compute d/dx (9x^9 + 13x),2
Compute ∂/∂y of 2x^2y + 3xy,2
How many binary relations exist on a set of size 8?,5
Express 18x^2 - 1413 + 11 in factored form,0
Compute the sum of the infinite geometric series with first term 19 and ratio 14,7
Compute 10^(1/1).,1
Solve for x: 3^2 - 14x + 4 = 0,0
"Find eigenvalues of the 2x2 matrix [[13, 12], [15, 1]]",6
Find the remainder when 12 is divided by 18,1
"Compute the Stirling number of the second kind S(6, 6)",5
Find the remainder when 8 is divided by 10,1
Compute d/dx (16x^12 + 4x),2
Find the value of x if x/4 + 6 = 4,0
"Find eigenvalues of the 2x2 matrix [[11, 19], [6, 8]]",6
Compute ∂/∂y of 15x^2y + 17xy,2
Simplify tan(13°) · cos(18°),4
What is the probability of drawing 4 cards without replacement from a deck of 7?,3
"Find eigenvalues of the 2x2 matrix [[2, 15], [5, 20]]",6
Find the general term of the series defined by a_n = 10n^2 + 10,7
Compute the sum of the infinite geometric series with first term 5 and ratio 1,7
Find d^2/dx^2 of x^18,2
"Determine if vectors (11, 1, 4) and (8, 10, 14) are orthogonal",6
Simplify the expression (13x^2 - 16x + 5),0
Compute the number of permutations of 20 distinct objects taken 17 at a time,5
Solve for x: 9^2 - 8x + 19 = 0,0
"What is the expected value of a uniform distribution on [4, 4]?",3
Solve for x: 14^2 - 7x + 9 = 0,0
"Determine if vectors (11, 14, 18) and (3, 6, 16) are orthogonal",6
What is 2% of 19?,1
Solve for x: 6^2 - 5x + 8 = 0,0
Convert 9/14 to a decimal,1
Find the length of hypotenuse in a right triangle with legs 8 and 1,4
Simplify the expression (9x^2 - 13x + 20),0
Find the remainder when 6 is divided by 14,1
"In a binomial distribution with n=14 and p=10, find P(X=10)",3
Compute the area of a trapezoid with bases 7 and 19 and height 9,4
How many surjections from an 9-element set to a 17-element set?,5
Find the number of subsets of size 12 from a set of size 19,5
"Find eigenvalues of the 2x2 matrix [[20, 1], [3, 10]]",6
Compute the number of permutations of 16 distinct objects taken 19 at a time,5
"Find eigenvalues of the 2x2 matrix [[12, 7], [18, 6]]",6
Evaluate ∫ (20x + 2) dx,2
Compute d/dx (13x^6 + 19x),2
Solve the inequality 5x + 8 > 12,0
"What is the expected value of a uniform distribution on [20, 6]?",3
Find the remainder when 1 is divided by 11,1
"What is the circumcircle radius of a triangle with sides 3, 8, 12?",4
What is the probability of drawing 3 cards without replacement from a deck of 4?,3
Compute d/dx (9x^16 + 19x),2
Find the nth term of the arithmetic sequence with a1=11 and d=13,7
"Compute the Stirling number of the second kind S(16, 18)",5
Evaluate the product 6 × 14 ÷ 19,1
Compute ∂/∂y of 16x^2y + 3xy,2
"Compute the Stirling number of the second kind S(14, 12)",5
Simplify the expression (14x^2 - 1x + 17),0
"What is the expected value of a uniform distribution on [16, 7]?",3
"Find eigenvalues of the 2x2 matrix [[9, 10], [4, 8]]",6
Compute the number of permutations of 20 distinct objects taken 5 at a time,5
Find the nth term of the arithmetic sequence with a1=13 and d=20,7
Evaluate the product 14 × 5 ÷ 11,1
"What is the expected value of a uniform distribution on [7, 9]?",3
Find the nth term of the arithmetic sequence with a1=6 and d=17,7
What is 16% of 20?,1
"What is the expected value of a uniform distribution on [10, 15]?",3
Express 14x^2 - 193 + 14 in factored form,0
"What is the circumcircle radius of a triangle with sides 8, 17, 12?",4
How many surjections from an 20-element set to a 6-element set?,5
"Compute the inverse of [[10, 17, 1],[14, 7, 8],[18, 8, 11]] if it exists",6
Compute the sum of the infinite geometric series with first term 8 and ratio 6,7
Find the sin(16°) using exact values,4
Simplify the expression (15x^2 - 11x + 2),0
Compute d/dx (13x^3 + 17x),2
Compute 17^(1/9).,1
Evaluate ∫ (19x + 14) dx,2
Find the length of hypotenuse in a right triangle with legs 7 and 1,4
How many binary relations exist on a set of size 14?,5
Compute the area of a trapezoid with bases 11 and 15 and height 10,4
Find the number of subsets of size 20 from a set of size 16,5
Find the remainder when 19 is divided by 19,1
Compute the number of permutations of 3 distinct objects taken 13 at a time,5
Compute the area of a trapezoid with bases 10 and 3 and height 12,4
"Compute the inverse of [[12, 17, 7],[4, 3, 10],[14, 16, 11]] if it exists",6
How many binary relations exist on a set of size 5?,5
What is the probability of drawing 19 cards without replacement from a deck of 7?,3
"If A = [[8, 13], [1, 9]], find tr(A)",6
"What is the expected value of a uniform distribution on [2, 20]?",3
Find the value of x if x/5 + 12 = 14,0
Solve the inequality 18x + 4 > 20,0
"If two events A and B are independent with P(A)=7 and P(B)=16, find P(A∪B)",3
Find the length of hypotenuse in a right triangle with legs 9 and 20,4
How many surjections from an 5-element set to a 19-element set?,5
Compute d/dx (19x^11 + 18x),2
Compute the area of a trapezoid with bases 13 and 5 and height 14,4
Compute the area of a trapezoid with bases 7 and 18 and height 4,4
Evaluate the product 14 × 20 ÷ 16,1
Compute the number of permutations of 4 distinct objects taken 20 at a time,5
Find the length of hypotenuse in a right triangle with legs 3 and 1,4
Find the number of subsets of size 17 from a set of size 9,5
Simplify the expression (2x^2 - 3x + 18),0
Compute the number of permutations of 7 distinct objects taken 2 at a time,5
Find the general term of the series defined by a_n = 9n^2 + 15,7
Compute the sum of the infinite geometric series with first term 11 and ratio 3,7
"Compute the inverse of [[20, 20, 11],[4, 16, 2],[17, 7, 8]] if it exists",6
Evaluate ∫ (1x + 19) dx,2
Simplify tan(6°) · cos(4°),4
Find the length of hypotenuse in a right triangle with legs 9 and 12,4
Find d^2/dx^2 of x^9,2
Find the nth term of the arithmetic sequence with a1=1 and d=11,7
"What is the expected value of a uniform distribution on [13, 1]?",3
"In a binomial distribution with n=15 and p=2, find P(X=4)",3
Express 10x^2 - 316 + 8 in factored form,0
Solve the inequality 5x + 4 > 12,0
"Compute the inverse of [[14, 5, 7],[11, 11, 9],[12, 4, 18]] if it exists",6
Solve the inequality 18x + 11 > 13,0
Express 17x^2 - 1917 + 2 in factored form,0
"In a binomial distribution with n=7 and p=19, find P(X=7)",3
Find the nth term of the arithmetic sequence with a1=10 and d=14,7
Convert 15/18 to a decimal,1
Evaluate the product 15 × 7 ÷ 16,1
Compute the sum of the infinite geometric series with first term 14 and ratio 2,7
Find the value of x if x/12 + 5 = 10,0
What is the probability of drawing 7 cards without replacement from a deck of 10?,3
Find d^2/dx^2 of x^10,2
Simplify the expression (17x^2 - 4x + 2),0
Compute ∂/∂y of 16x^2y + 13xy,2
Express 5x^2 - 1116 + 12 in factored form,0
Evaluate ∫ (11x + 2) dx,2
What is the probability of drawing 7 cards without replacement from a deck of 3?,3
Find d^2/dx^2 of x^8,2
"If two events A and B are independent with P(A)=7 and P(B)=9, find P(A∪B)",3
"If A = [[7, 18], [11, 19]], find tr(A)",6
"Solve for x,y: [[4, 20],[18, 8]] [x y]^T = [16, 4]^T",6
"What is the expected value of a uniform distribution on [7, 5]?",3
Find the remainder when 8 is divided by 12,1
Simplify the expression (19x^2 - 7x + 1),0
Compute the area of a trapezoid with bases 4 and 18 and height 13,4
Compute the area of a trapezoid with bases 6 and 15 and height 13,4
Compute the area of a trapezoid with bases 13 and 7 and height 15,4
Compute 14^(1/14).,1
Find the remainder when 13 is divided by 4,1
Compute the area of a trapezoid with bases 12 and 1 and height 3,4
Compute d/dx (20x^3 + 10x),2
Evaluate the product 3 × 5 ÷ 18,1
Find d^2/dx^2 of x^17,2
"What is the circumcircle radius of a triangle with sides 2, 8, 12?",4
"If A = [[12, 3], [1, 3]], find tr(A)",6
Simplify the expression (2x^2 - 14x + 10),0
"Determine if vectors (7, 8, 18) and (13, 16, 10) are orthogonal",6
How many surjections from an 9-element set to a 19-element set?,5
Find the nth term of the arithmetic sequence with a1=7 and d=15,7
Find the sin(12°) using exact values,4
How many binary relations exist on a set of size 17?,5
How many surjections from an 17-element set to a 2-element set?,5
Find the general term of the series defined by a_n = 8n^2 + 5,7
"Solve for x,y: [[9, 7],[2, 2]] [x y]^T = [2, 12]^T",6
Solve the inequality 16x + 8 > 11,0
Simplify the expression (12x^2 - 15x + 14),0
"Compute the inverse of [[3, 2, 5],[16, 15, 2],[12, 2, 10]] if it exists",6
Solve the inequality 11x + 12 > 15,0
Simplify the expression (13x^2 - 6x + 16),0
What is the probability of drawing 18 cards without replacement from a deck of 9?,3
"If A = [[7, 17], [19, 15]], find tr(A)",6
"What is the circumcircle radius of a triangle with sides 3, 19, 18?",4
